turn_lengths,turn_words,turn_syllables,tcus_per_turn
36678.0,118,166,8
30939.0,106,133,6
719.0,1,1,1
3988.0,3,3,1
2024.0,13,14,2
2601.0,2,2,1
44548.0,16,19,2
1209.0,4,4,1
40739.0,117,141,18
4306.0,2,2,1
3433.0,13,15,2
7950.0,29,39,3
1510.0,2,2,1
1082.0,8,8,2
1404.0,1,1,1
2447.0,11,13,2
3721.0,2,2,1
500.0,11,15,1
3482.0,2,2,1
9314.0,36,53,3
6861.0,2,2,1
420.0,25,32,1
4170.0,1,1,1
10797.0,51,69,3
780.0,2,2,1
11971.0,43,56,4
910.0,2,2,1
24547.0,94,118,4
1420.0,1,1,1
9166.0,28,33,3
15553.0,52,79,8
2630.0,1,1,1
4544.0,24,28,2
650.0,2,2,1
14871.0,45,51,3
2800.0,2,2,1
297.0,10,11,1
633.0,1,1,1
670.0,2,2,1
3172.0,3,3,1
650.0,3,3,1
5021.0,3,3,1
19279.0,69,78,12
1040.0,1,1,1
298.0,3,6,1
1773.0,1,1,1
11363.0,43,50,4
3700.0,1,1,1
5884.0,28,32,5
2290.0,2,2,1
2375.0,17,18,2
7218.0,34,44,5
2940.0,2,2,1
418.0,10,15,1
2850.0,2,2,1
3740.0,7,8,1
18728.0,57,88,6
1776.0,3,3,1
294.0,9,13,1
1223.0,2,2,1
1202.0,5,6,1
2944.0,8,9,1
842.0,9,17,2
2514.0,1,1,1
385.0,13,17,1
2100.0,2,2,1
6301.0,29,41,3
2807.0,2,2,1
4126.0,22,28,2
2907.0,2,2,1
263.0,7,12,1
1159.0,2,2,1
891.0,2,2,1
1256.0,7,7,1
343.0,7,8,1
334.0,1,1,1
570.0,1,1,1
5739.0,2,2,1
419.0,32,41,2
908.0,2,2,1
12148.0,50,64,4
1780.0,2,2,1
309.0,8,11,1
2088.0,2,2,1
2677.0,18,21,3
1030.0,2,2,1
603.0,4,4,1
599.0,4,4,1
2310.0,3,3,1
406.0,9,16,1
3527.0,3,3,2
388.0,11,12,1
385.0,1,1,1
422.0,12,14,2
4257.0,19,28,5
4710.0,1,1,1
302.0,25,34,1
110.0,2,2,1
246.0,1,1,1
760.0,2,2,1
3246.0,10,13,3
520.0,1,1,1
5556.0,5,6,2
7837.0,50,63,4
5102.0,2,2,1
4013.0,17,23,2
4567.0,1,1,1
1981.0,16,22,2
3820.0,2,2,1
180.0,12,17,1
1532.0,2,2,1
9841.0,39,44,4
755.0,1,1,1
3069.0,8,14,2
2272.0,2,2,1
31367.0,111,141,10
6917.0,1,1,1
19450.0,76,99,4
6386.0,24,32,3
6980.0,2,2,1
4023.0,39,57,3
4620.0,2,2,1
2726.0,24,28,3
1067.0,3,5,2
1618.0,1,1,1
165.0,6,8,1
3350.0,1,1,1
325.0,16,26,2
1390.0,2,2,1
191.0,5,7,1
1963.0,3,3,2
14204.0,27,41,2
3240.0,2,2,1
8548.0,32,45,4
339.0,1,1,1
230.0,1,1,1
11340.0,27,39,1
3447.0,11,14,2
2096.0,2,2,1
334.0,8,9,1
1858.0,3,3,1
25690.0,56,79,4
5115.0,17,23,1
10185.0,38,47,3
3000.0,2,2,1
17726.0,61,78,3
1410.0,2,2,1
23644.0,44,61,2
5400.0,8,11,1
5592.0,23,26,2
7635.0,18,25,1
5724.0,21,26,2
1464.0,12,14,2
1910.0,1,1,1
1970.0,5,9,1
440.0,7,8,1
2370.0,2,2,1
7746.0,32,45,2
330.0,1,1,1
4020.0,2,2,1
2197.0,20,23,2
10383.0,13,14,2
396.0,22,29,1
5874.0,2,2,1
9898.0,40,64,2
5002.0,6,6,2
480.0,16,23,1
14371.0,41,53,3
570.0,4,5,1
2280.0,3,4,1
648.0,21,30,2
5279.0,1,1,1
367.0,15,25,1
2622.0,1,1,1
3170.0,21,28,2
6513.0,11,12,4
677.0,6,9,2
11871.0,2,2,1
8667.0,28,36,1
450.0,24,33,1
11559.0,34,48,4
13860.0,33,44,4
2093.0,9,9,1
420.0,5,11,1
2333.0,2,2,1
21181.0,47,62,5
513.0,26,41,2
2127.0,12,13,4
4721.0,11,12,3
1186.0,5,6,1
19794.0,54,64,4
9580.0,3,3,1
380.0,35,47,1
15814.0,40,54,3
5784.0,23,28,2
1018.0,1,1,1
3019.0,17,19,3
3545.0,2,2,2
318.0,9,12,1
3980.0,3,3,1
2553.0,16,24,2
5520.0,2,2,1
4934.0,37,50,2
1939.0,2,2,1
527.0,6,7,1
3085.0,6,8,2
948.0,7,8,3
710.0,1,1,1
2012.0,7,11,3
1809.0,4,5,2
2578.0,11,13,2
4223.0,1,1,1
3140.0,20,23,2
2980.0,2,2,1
380.0,13,16,1
2790.0,2,2,1
780.0,14,15,1
1990.0,3,3,1
7107.0,27,36,3
1281.0,9,10,3
4893.0,8,11,2
2861.0,4,5,2
731.0,10,13,2
2524.0,8,11,4
1060.0,1,2,1
480.0,4,5,1
26457.0,59,86,4
3490.0,3,3,1
3326.0,10,18,1
7087.0,30,34,2
6469.0,2,2,1
15024.0,40,53,3
386.0,12,19,1
6020.0,2,2,1
385.0,15,22,1
923.0,2,2,1
348.0,5,5,1
7829.0,4,4,1
22815.0,84,108,6
1147.0,2,2,2
4811.0,24,30,2
4973.0,14,15,2
325.0,5,6,1
5144.0,1,1,1
306.0,9,12,1
660.0,1,1,1
2152.0,13,19,2
982.0,2,2,1
2819.0,9,12,2
4897.0,1,1,1
7718.0,29,44,3
3563.0,1,1,1
326.0,13,22,1
